id,group,aritfact
0,com.microsoft.graph,microsoft-graph
1,com.microsoft.graph,microsoft-graph-auth
2,org.openjfx,javafx-controls
3,org.openjfx,javafx-fxml
4,org.openjfx,javafx-web
5,com.google.code.gson,gson
6,net.sourceforge.barbecue,barbecue
7,org.springframework.boot,spring-boot-starter-webflux
8,org.springframework.boot,spring-boot-starter-data-mongodb
9,org.springframework.boot,spring-boot-starter-web
10,org.springframework.boot,spring-boot-devtools
11,org.projectlombok,lombok
12,org.springframework.boot,spring-boot-starter-test
13,me.paulschwarz,spring-dotenv
14,com.stripe,stripe-java
15,org.apache.spark,spark-core_2.13
16,org.mongodb.spark,mongo-spark-connector_2.12
17,org.apache.spark,spark-core_2.12
18,org.apache.spark,spark-sql_2.12
19,junit,junit
20,org.tinylog,tinylog-api
21,org.tinylog,tinylog-impl
22,javax.servlet,javax.servlet-api
23,com.mysql,mysql-connector-j
24,org.springframework.boot,spring-boot-starter-data-jpa
25,org.springframework.boot,spring-boot-starter-actuator
26,org.springframework.boot,spring-boot-starter-data-r2dbc
27,org.springframework.boot,spring-boot-starter-oauth2-resource-server
28,org.springframework.cloud,spring-cloud-starter-function-webflux
29,org.springframework.cloud,spring-cloud-bindings
30,org.springdoc,springdoc-openapi-webflux-ui
31,com.h2database,h2
32,org.mariadb,r2dbc-mariadb
33,org.postgresql,r2dbc-postgresql
34,io.r2dbc,r2dbc-h2
35,io.projectreactor,reactor-test
36,org.springframework.cloud,spring-cloud-dependencies
37,org.springframework.cloud,spring-cloud-stream
38,org.springframework.cloud,spring-cloud-stream-binder-rabbit
39,org.springframework.boot,spring-boot-configuration-processor
40,org.springframework.boot,spring-boot-starter-data-redis-reactive
41,org.springframework.cloud,spring-cloud-starter-kubernetes-fabric8-config
42,org.springframework.boot,spring-boot-starter
43,org.springframework.cloud,spring-cloud-starter-gateway
44,org.springframework.boot,spring-boot-starter-oauth2-client
45,org.springframework.boot,spring-boot-starter-mail
46,org.hibernate,hibernate-core-jakarta
47,com.microsoft.sqlserver,mssql-jdbc
48,org.netbeans.external,AbsoluteLayout
49,com.toedter,jcalendar
50,com.sun.mail,javax.mail
51,javax.activation,activation
52,org.openeuler,jsse
53,org.jfree,jfreechart
54,org.springframework.boot,spring-boot-starter-thymeleaf
55,org.springframework.boot,spring-boot-starter-validation
56,org.postgresql,postgresql
57,com.fasterxml.jackson.core,jackson-databind
58,com.fasterxml.jackson.datatype,jackson-datatype-hibernate5
59,com.fasterxml.jackson.datatype,jackson-datatype-jsr310
60,com.jayway.jsonpath,json-path
61,org.assertj,assertj-core
62,org.webjars,jquery
63,org.webjars,bootstrap
64,org.webjars,datatables
65,org.webjars,datetimepicker
66,org.webjars.bower,noty
67,org.springframework.boot,spring-boot-starter-security
68,org.springframework.security,spring-security-test
69,com.googlecode.json-simple,json-simple
70,servlets.com,cos
71,com.oracle.database.jdbc,ojdbc8
72,org.springframework.boot,spring-boot-dependencies
73,org.springdoc,springdoc-openapi-starter-webmvc-ui
74,org.springframework.cloud,spring-cloud-starter-openfeign
75,org.springframework.cloud,spring-cloud-starter-netflix-eureka-client
76,org.modelmapper,modelmapper
77,ru.murza,food-model
78,ru.murza,amqp
79,org.springframework.boot,spring-boot-starter-amqp
80,org.springframework.cloud,spring-cloud-starter-netflix-eureka-server
81,ru.murza,feign-clients
82,org.junit.jupiter,junit-jupiter-api
83,org.junit.jupiter,junit-jupiter-engine
84,net.sf.sociaal,freetts
85,org.junit.jupiter,junit-jupiter
86,org.apache.commons,commons-csv
87,org.spigotmc,spigot-api
88,org.springframework.boot,spring-boot-autoconfigure
89,org.springframework.boot,spring-boot-starter-jdbc
90,org.springframework,spring-context
91,org.springframework,spring-aop
92,org.springframework.boot,spring-boot-starter-data-redis
93,com.github.xiaoymin,knife4j-openapi3-spring-boot-starter
94,org.mybatis.spring.boot,mybatis-spring-boot-starter
95,com.baomidou,mybatis-plus-boot-starter
96,com.baomidou,mybatis-plus-generator
97,org.apache.velocity,velocity-engine-core
98,org.freemarker,freemarker
